DateTime,AddedIPs,RemovedIPs
1621558325,5,885
1621561827,963,2
1621566487,1159,1190
1621577284,1306,1316
1621587841,320,319
1621588802,383,367
1621598642,322,323
1621600325,353,335
1621604162,66,71
1621609441,373,743
1621611843,79,80
1621620241,283,314
1621623613,169,167
1621631041,250,248
1621635603,97,97
1621641993,268,267
1621647363,141,917
1621652817,554,561
1621659122,897,126
1621663840,496,506
1621670642,424,443
1621674241,316,314
1621682403,328,303
1621685185,289,284
1621690563,171,164
1621695841,217,213
1621702322,187,163
1621706792,219,237
1621710244,37,45
1621714323,126,126
1621717565,251,256
1621726083,158,148
1621728241,224,223
1621729923,45,54
1621733763,54,45
1621737604,968,913
1621739400,433,498
1621749363,731,739
1621749841,354,516
1621761123,769,866
1621768802,196,140
1621771441,335,339
1621780563,123,66
1621782241,258,260
1621788244,55,43
1621793041,254,255
1621793741,16,96
1621796163,91,92
1621800012,53,27
1621803239,929,1073
1621803841,252,237
1621807924,110,98
1621814135,12,14
1621814641,257,261
1621819444,77,81
1621823283,979,779
1621825667,575,637
1621835043,765,774
1621836241,332,341
1621846813,424,408
1621847041,301,283
1621850643,123,124
1621853341,3,49
1621854484,124,123
1621857841,298,266
1621858324,162,149
1621862402,57,53
1621863035,347,0
1621864235,10,8
1621866242,53,56
1621868641,349,348
1621870083,194,216
1621875128,21,18
1621878003,132,124
1621879441,348,336
1621886019,24,19
1621889522,100,101
1621890241,360,290
1621895084,250,0
1621897219,10,11
1621901043,122,120
1621902069,273,247
1621908110,8,17
1621908963,979,883
1621912070,568,747
1621918969,17,18
1621920483,701,714
1621923080,353,287
1621930197,12,15
1621932004,506,490
1621933441,332,202
1621935843,2,6
1621939682,6,2
1621941019,12,17
1621943523,222,208
1621944241,392,232
1621948558,0,255
1621949551,0,1
1621952136,17,12
1621955042,165,166
1621955309,356,296
1621958884,1,0
1621962963,18,17
1621965841,442,348
1621967042,149,140
1621969246,254,0
1621974006,11,12
1621976641,298,294
1621978562,123,120
1621984907,19,16
1621987441,279,283
1621990082,8,900
1621995814,18,14
1621997763,974,5
1621998683,601,656
1622006780,19,17
1622009523,1113,1127
1622017442,364,340
1622017618,18,24
1622019841,329,334
1622028659,11,18
1622028963,352,358
1622030641,338,344
1622039459,15,13
1622041441,337,335
1622044323,152,157
1622050309,7,9
1622052241,429,365
1622056323,133,124
1622060403,124,133
1622061213,11,10
1622063041,373,366
1622064243,128,123
1622072109,10,12
1622073841,347,351
1622074556,0,249
1622075762,118,122
1622080834,1,2
1622083016,12,18
1622083443,982,899
1622084641,705,775
1622093914,12,14
1622094963,691,699
1622095441,406,421
1622104818,14,16
1622106723,735,708
1622110563,142,126
1622114404,151,145
1622115666,12,15
1622117041,357,362
1622122323,41,46
1622126403,161,149
1622126516,10,11
1622127841,313,338
1622130242,149,135
1622132403,0,251
1622134322,135,149
1622137370,18,7
1622138163,139,144
1622138641,369,387
1622139345,54,25
1622142013,143,129
1622146083,129,143
1622148224,12,7
1622149441,339,342
1622151843,161,154
1622155923,0,1
1622159379,13,5
1622160674,346,352
1622163603,88,81
1622167442,980,891
1622170282,14,0
1622171041,756,766
1622178963,751,752
1622181179,18,0
1622182803,752,751
1622186643,751,752
1622192087,23,9
1622194563,387,386
1622202997,17,16
1622210478,355,352
1622212346,0,1
1622213890,23,7
1622218784,0,255
1622222163,146,147
1622224531,5,13
1622224850,18,18
1622226243,158,157
1622235432,14,14
1622241843,152,152
1622246328,11,8
1622246642,2059,2098
1622249523,144,149
1622253363,267,258
1622257227,12,14
1622257646,737,740
1622264883,935,927
1622268426,453,480
1622272562,480,499
1622279330,538,549
1622284323,428,414
1622289841,408,408
1622292003,94,111
1622295843,165,153
1622297735,0,251
1622299683,153,165
1622300641,429,431
1622303522,164,152
1622307612,170,154
1622311441,302,307
1622312142,7,75
1622312429,6,42
1622316223,6,0
1622319603,127,120
1622320276,2,4
1622322241,276,281
1622323803,3,5
1622327774,1,2
1622331003,6,2
1622333478,318,322
1622334929,5,8
1622335922,124,131
1622339763,68,894
1622343842,894,68
1622344503,666,669
1622346138,10,13
1622347683,68,891
1622351523,890,62
1622355114,559,639
1622357291,14,8
1622363523,192,272
1622365441,601,650
1622367363,194,215
1622368138,10,17
1622375283,210,145
1622376241,327,329
1622379284,15,8
1622383443,180,122
1622387041,339,350
1622390452,11,12
1622391123,64,108
1622391529,3,0
1622394963,221,163
1622398143,316,327
1622401278,12,18
1622402642,68,74
1622406482,116,107
1622408641,315,322
1622410322,89,65
1622412126,11,12
1622418243,65,89
1622419441,305,292
1622422082,167,144
1622422974,12,17
1622430077,980,800
1622430491,699,772
1622434040,17,10
1622437683,544,548
1622441522,936,950
1622445063,19,14
1622445362,496,482
1622449202,482,496
1622451841,328,309
1622453044,386,360
1622456104,16,15
1622456883,280,302
1622460722,392,365
1622462777,387,340
1622464562,163,156
1622467121,10,14
1622467455,0,256
1622470503,505,0
1622472483,156,163
1622473441,342,331
1622474893,0,1
1622476323,309,313
1622478017,12,17
1622484242,353,358
1622488083,124,117
1622488911,20,10
1622491923,291,291
1622495041,281,278
1622499843,98,96
1622503683,78,79
1622505841,286,296
1622507523,101,108
1622510703,14,18
1622515203,987,908
1622516895,657,704
1622521907,7,14
1622527441,502,503
1622531284,739,767
1622532801,23,13
1622538241,344,346
1622538962,373,367
1622543998,20,23
1622549041,381,378
1622550483,333,353
1622554900,16,14
1622558403,175,159
1622559841,330,338
1622562249,1,1
1622565798,14,9
1622570413,118,113
1622570641,299,300
1622571498,25,16
1622576688,13,9
1622578324,113,115
1622581579,328,327
1622582403,209,218
1622586243,118,108
1622590323,108,118
1622592379,266,266
1622594403,99,90
1622602082,980,883
1622603335,597,602
1622613842,794,798
1622613977,312,322
1622615751,8,54
1622617923,798,788
1622622004,788,798
1622624641,297,302
1622625843,489,492
1622626907,19,17
1622635441,320,330
1622637606,255,258
1622637751,22,13
1622646546,358,355
1622648597,16,15
1622649630,5,7
1622651442,0,256
1622653283,193,201
1622657041,357,362
1622659545,21,16
1622661123,138,403
1622664963,147,138
1622667841,330,323
1622668803,137,147
1622670351,21,20
1622676483,119,115
1622678641,278,273
1622680323,115,118
1622681131,14,9
1622684162,209,212
1622688003,981,922
1622689866,600,652
1622692031,11,13
1622700588,364,369
1622703229,15,15
1622707213,708,721
1622711044,464,450
1622711752,294,300
1622714127,9,10
1622715124,450,462
1622718963,462,450
1622721841,305,298
1622722803,264,257
1622725019,6,14
1622730724,257,263
1622732641,282,274
1622734564,408,411
1622735912,10,13
1622737451,2,5
1622742483,202,193
1622743441,313,300
1622744144,223,65
1622746323,340,358
1622746801,19,16
1622750163,182,177
1622754012,177,182
1622754241,310,297
1622757844,196,185
1622759029,249,0
1622761684,267,279
1622765180,287,225
1622768598,11,13
1622773203,992,921
1622776012,528,601
1622779869,16,12
1622787032,320,315
1622788802,782,792
1622790609,8,12
1622796963,452,451
1622797885,272,279
1622800813,451,443
1622801757,8,18
1622804643,443,451
1622808241,309,244
1622812562,314,320
1622812785,6,11
1622816402,123,126
1622819041,308,308
1622823942,14,10
1622828403,193,194
1622829841,307,313
1622830640,27,98
1622835094,12,17
1622840641,340,342
1622847147,0,2
1622848803,263,267
1622851574,305,355
1622856723,170,123
1622860562,123,170
1622862386,729,729
1622872323,964,894
1622873041,426,480
1622874256,10,48
1622880242,714,669
1622884084,1056,1111
1622885455,11,18
1622888163,259,254
1622892242,254,259
1622894641,291,291
1622896083,343,355
1622896550,4,12
1622905441,97,97
1622907398,8,17
1622908083,192,190
1622916797,32,75
1622917175,237,0
1622918247,10,13
1622923923,171,164
1622929020,13,21
1622931843,109,107
1622935683,107,109
1622939524,222,217
1622940177,10,18
1622947443,124,128
1622948641,891,881
1622951522,18,914
1622952357,0,256
1622955362,945,4
1622959441,289,200
1622962178,13,15
1622963284,4,904
1622967123,892,5
1622970668,253,241
1622971203,346,348
1622973033,5,15
1622975042,316,329
1622978883,128,124
1622981041,345,375
1622983883,16,17
1622986805,315,344
1622990643,344,315
1622991841,512,508
1622994722,173,344
1622994749,20,12
1622996292,508,0
1622998826,1,3
1623002642,156,108
1623003431,210,244
1623005613,17,8
1623006723,108,155
1623010802,250,173
1623011402,0,256
1623013441,158,158
1623016452,20,14
1623018724,113,100
1623022803,100,113
1623024241,180,182
1623026643,137,118
1623027605,15,13
1623030723,85,774
1623034812,943,44
1623035159,380,447
1623038461,14,6
1623046176,348,349
1623049313,15,33
1623050643,748,776
1623054724,461,437
1623056641,284,283
1623060176,18,21
1623062403,441,450
1623066485,586,564
1623067441,302,317
1623070562,85,79
1623071326,18,10
1623078241,254,514
1623082538,13,14
1623086404,157,152
1623089041,315,313
1623089742,31,21
1623093330,8,15
1623094084,123,127
1623097398,254,0
1623099841,183,182
1623104177,12,15
1623109682,112,115
1623110641,303,312
1623115109,18,14
1623121212,969,885
1623121691,472,512
1623126181,14,12
1623132681,377,397
1623136803,693,736
1623137457,24,10
1623140643,430,399
1623143041,294,301
1623144963,131,125
